user,ILD,model
511,0.7,CF (KNNBasic)
515,0.7,CF (KNNBasic)
512,0.7,CF (KNNBasic)
513,0.7,CF (KNNBasic)
475,0.7,CF (KNNBasic)
523,0.7,CF (KNNBasic)
518,0.7,CF (KNNBasic)
509,0.7,CF (KNNBasic)
516,0.7,CF (KNNBasic)
510,0.7,CF (KNNBasic)
524,0.7,CF (KNNBasic)
501,0.7,CF (KNNBasic)
525,0.7,CF (KNNBasic)
521,0.7,CF (KNNBasic)
520,0.7648148148148148,CF (KNNBasic)
519,0.6574074074074074,CF (KNNBasic)
528,0.7,CF (KNNBasic)
532,0.7,CF (KNNBasic)
530,0.7888888888888889,CF (KNNBasic)
531,0.7,CF (KNNBasic)
529,0.7,CF (KNNBasic)
517,0.7,CF (KNNBasic)
527,0.7,CF (KNNBasic)
485,0.7,CF (KNNBasic)
533,0.7,CF (KNNBasic)
535,0.7,CF (KNNBasic)
536,0.7111111111111111,CF (KNNBasic)
526,0.7,CF (KNNBasic)
537,0.7,CF (KNNBasic)
534,0.7,CF (KNNBasic)
541,0.7111111111111111,CF (KNNBasic)
538,0.7111111111111111,CF (KNNBasic)
542,0.7,CF (KNNBasic)
545,0.7,CF (KNNBasic)
539,0.7,CF (KNNBasic)
547,0.7,CF (KNNBasic)
543,0.7,CF (KNNBasic)
548,0.7,CF (KNNBasic)
546,0.7,CF (KNNBasic)
522,0.6777777777777778,CF (KNNBasic)
551,0.7,CF (KNNBasic)
544,0.7,CF (KNNBasic)
553,0.7,CF (KNNBasic)
552,0.7,CF (KNNBasic)
540,0.7,CF (KNNBasic)
554,0.7,CF (KNNBasic)
550,0.7,CF (KNNBasic)
556,0.7,CF (KNNBasic)
559,0.7,CF (KNNBasic)
560,0.7,CF (KNNBasic)
561,0.7,CF (KNNBasic)
563,0.7,CF (KNNBasic)
566,0.7,CF (KNNBasic)
557,0.7,CF (KNNBasic)
558,0.6222222222222222,CF (KNNBasic)
564,0.7,CF (KNNBasic)
565,0.6574074074074074,CF (KNNBasic)
573,0.7,CF (KNNBasic)
549,0.7888888888888889,CF (KNNBasic)
567,0.7,CF (KNNBasic)
569,0.7,CF (KNNBasic)
562,0.7,CF (KNNBasic)
576,0.7888888888888889,CF (KNNBasic)
577,0.7,CF (KNNBasic)
579,0.7,CF (KNNBasic)
574,0.7,CF (KNNBasic)
555,0.7,CF (KNNBasic)
572,0.6444444444444444,CF (KNNBasic)
575,0.7888888888888889,CF (KNNBasic)
584,0.7,CF (KNNBasic)
588,0.7,CF (KNNBasic)
587,0.7,CF (KNNBasic)
568,0.7,CF (KNNBasic)
586,0.7111111111111111,CF (KNNBasic)
585,0.7,CF (KNNBasic)
582,0.7,CF (KNNBasic)
591,0.7,CF (KNNBasic)
581,0.7,CF (KNNBasic)
592,0.7,CF (KNNBasic)
580,0.7,CF (KNNBasic)
590,0.7,CF (KNNBasic)
593,0.7,CF (KNNBasic)
583,0.7,CF (KNNBasic)
596,0.7,CF (KNNBasic)
570,0.7,CF (KNNBasic)
599,0.7888888888888889,CF (KNNBasic)
589,0.7,CF (KNNBasic)
594,0.7,CF (KNNBasic)
597,0.7,CF (KNNBasic)
578,0.7,CF (KNNBasic)
601,0.7888888888888889,CF (KNNBasic)
602,0.7,CF (KNNBasic)
600,0.7,CF (KNNBasic)
605,0.7,CF (KNNBasic)
603,0.7648148148148148,CF (KNNBasic)
595,0.7444444444444445,CF (KNNBasic)
